singular,plural,gender,total_frequency
motor,motoren,Masc,120
schleife,schleifen,Fem,120
guter,güter,Neut,115
mauer,mauern,Fem,115
platte,platten,Fem,113
grund,gründen,Masc,112
lag,lagen,Fem,112
brief,briefe,Masc,112
familie,familien,Fem,112
tonne,tonnen,Fem,110
zigarette,zigaretten,Fem,107
form,formen,Fem,107
kassette,kassetten,Fem,106
verschiedenes,verschiedene,Neut,104
ameise,ameisen,Fem,103
foto,fotos,Neut,102
stiefel,stiefeln,Fem,102
höhle,höhlen,Fem,101
stimme,stimmen,Fem,101
wechsel,wechseln,Masc,100
packung,packungen,Fem,100
strecke,strecken,Fem,99
ton,töne,Masc,99
nest,nester,Neut,99
feld,felder,Neut,98
raum,räume,Masc,98
reh,rehen,Masc,97
linie,linien,Fem,97
sohn,söhne,Masc,96
sessel,sesseln,Fem,96
taube,tauben,Fem,95
reise,reisen,Fem,95
regel,regeln,Fem,94
riese,riesen,Masc,93
wild,wilder,Neut,92
hotel,hotels,Neut,92
schenke,schenken,Fem,91
pinsel,pinseln,Fem,91
pfeil,pfeile,Neut,88
lehrerin,lehrerinnen,Fem,88
messe,messen,Fem,87
gewicht,gewichte,Neut,85
signal,signale,Neut,84
fell,felle,Neut,84
gluck,glucks,Masc,83
hecht,hechte,Neut,83
fahne,fahnen,Fem,83
eingang,eingänge,Masc,82
aufgabe,aufgaben,Fem,82
polizist,polizisten,Masc,80
möglichkeit,möglichkeiten,Fem,80
knie,knien,Neut,79
interessantes,interessanten,Neut,79
geschäft,geschäften,Neut,79
mehl,mehlen,Masc,78
erwachsener,erwachsenen,Masc,78
aquarium,aquarien,Neut,78
gerät,geräte,Neut,77
maschine,maschinen,Fem,76
pfennig,pfennigen,Fem,76
wahnsinnig,wahnsinnigen,Masc,73
paket,paketen,Masc,73
geist,geister,Masc,73
insel,inseln,Fem,72
korn,körner,Neut,72
breit,breiten,Fem,70
vorschlag,vorschlagen,Masc,69
feier,feiern,Neut,69
ausflug,ausflüge,Masc,68
preis,preise,Masc,68
kern,kerne,Masc,68
verrat,verraten,Fem,67
roman,romane,Masc,67
welle,wellen,Fem,66
besonderes,besondere,Neut,65
apfelbaum,apfelbäume,Masc,65
wachse,wachsen,Masc,65
brand,brände,Masc,65
anleitung,anleitungen,Fem,64
spur,spuren,Fem,64
fetter,fetten,Masc,63
kampf,kämpfen,Masc,62
wein,weine,Masc,62
ast,ästen,Masc,61
bauarbeiter,bauarbeitern,Masc,61
kirsch,kirsche,Masc,61
gewünscht,gewünschten,Masc,60
binde,binden,Fem,59
video,videos,Neut,59
weihnachtsbaum,weihnachtsbäume,Masc,59
gast,gäste,Masc,59
bremse,bremsen,Fem,58
blase,blasen,Fem,57
schulter,schultern,Fem,57
portion,portionen,Fem,57
tat,taten,Fem,56
dreieck,dreiecke,Neut,56
verbraucht,verbrauchten,Fem,55
streit,streiten,Fem,55
brett,bretter,Neut,55
ladung,ladungen,Fem,55
gewinn,gewinnen,Masc,54
wunsch,wünsche,Masc,54
monstern,monster,Masc,54
